File Name,Rows,Columns,Column Names
571_Mixed8.csv,81423,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Charge13.csv,207,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
576_UDDS.csv,148899,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
567_Mixed1.csv,72330,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
567_Charge6.csv,208,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
582_LA92.csv,90741,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Mixed4.csv,73930,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Cap_1C.csv,369,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
576_Charge1.csv,131,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Charge10.csv,209,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_PausCycl.csv,27832,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Mixed6.csv,73922,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
575_C20DisCh.csv,2338,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Mixed5.csv,67175,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
567_Mixed2.csv,77753,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
575_Dis_0p5C.csv,319,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Charge16.csv,153,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
576_Cap_1C.csv,376,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Charge11.csv,207,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
576_HWFET.csv,52879,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
575_Dis_2C.csv,237,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
576_Charge3.csv,207,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
567_US06.csv,38719,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
567_Charge7.csv,209,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Charge15.csv,207,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Mixed7.csv,69326,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Charge12.csv,206,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
571_Charge14.csv,207,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
575_HPPC.csv,44220,14,"Time Stamp, Step, Status, Prog Time, Step Time, Cycle, Cycle Level, Procedure, Voltage, Current, Temperature, Capacity, WhAccu, Cnt"
