Target,Model,Dataset,MAE,RMSE,R2
SOC,Random Forest,Train,0.06591513651451136,0.3901783795066487,0.9999139001738945
SOC,Random Forest,Validation,9.699772597425342,11.995793338956366,0.7782226300863255
SOC,Random Forest,Test,0.6239705785455993,3.769012550916955,0.9916438473014783
Remaining Charging Time,Random Forest,Train,7.252785710477729,148.2450574433187,0.9998734627467493
Remaining Charging Time,Random Forest,Validation,16.067371508355905,25.540692594931155,0.9996866728141353
Remaining Charging Time,Random Forest,Test,481.6138413466571,761.5629920414145,0.9988716282186544
SOC,XGBoost,Train,0.10062243592236704,0.2421743299219383,0.9999668310222914
SOC,XGBoost,Validation,10.687767382544449,13.5160557738502,0.7184476031602388
SOC,XGBoost,Test,0.5007062639087156,1.690870626006431,0.9983182092502219
Remaining Charging Time,XGBoost,Train,21.898681691435545,61.80254849613265,0.9999780076962244
Remaining Charging Time,XGBoost,Validation,22.567051864182886,33.38403850589748,0.9994646836804457
Remaining Charging Time,XGBoost,Test,606.7076792604277,1223.3551923505697,0.9970883062585733
