Voltage,Current,Temperature,Elapsed Time,Cycle,WhAccu,SOC,Source_File,Charging_Session
3.01141,0.15069,-0.63095,0.0,0.0,-9.66688,0.0,585_C20DisCh.csv,4
3.03281,0.14814,-0.52579,60.0,0.0,-9.6594,0.0,585_C20DisCh.csv,4
3.05169,0.14814,-0.52579,120.0,0.0,-9.65186,0.0,585_C20DisCh.csv,4
3.06872,0.14814,-0.52579,180.0,0.0,-9.64431,0.0,585_C20DisCh.csv,4
3.08456,0.14814,-0.52579,240.0,0.0,-9.6367,0.0,585_C20DisCh.csv,4
3.09906,0.14814,-0.52579,300.0,0.0,-9.62904,0.0,585_C20DisCh.csv,4
3.11288,0.14814,-0.52579,360.0,0.0,-9.62136,0.0,585_C20DisCh.csv,4
3.12569,0.14814,-0.52579,420.0,0.0,-9.61364,0.0,585_C20DisCh.csv,4
3.138,0.14814,-0.52579,480.0,0.0,-9.60591,0.0,585_C20DisCh.csv,4
3.1498,0.14814,-0.63095,540.0,0.0,-9.5981,0.0,585_C20DisCh.csv,4
3.16075,0.14814,-0.52579,600.0,0.0,-9.59028,0.0,585_C20DisCh.csv,4
3.17154,0.14814,-0.52579,660.0,0.0,-9.58246,0.0,585_C20DisCh.csv,4
3.18166,0.14814,-0.52579,720.0,0.0,-9.57459,0.0,585_C20DisCh.csv,4
3.19143,0.15069,-0.52579,780.0,0.0,-9.5667,0.0,585_C20DisCh.csv,4
3.20087,0.14814,-0.52579,840.0,0.0,-9.55879,0.0,585_C20DisCh.csv,4
3.20981,0.14814,-0.63095,900.0,0.0,-9.55087,0.0,585_C20DisCh.csv,4
3.21874,0.14814,-0.63095,960.0,0.0,-9.54292,0.0,585_C20DisCh.csv,4
3.22717,0.14814,-0.42063,1020.0,0.0,-9.53494,0.0,585_C20DisCh.csv,4
3.23526,0.14814,-0.52579,1080.0,0.0,-9.52696,0.0,585_C20DisCh.csv,4
3.24318,0.14814,-0.52579,1140.0,0.0,-9.51894,0.0,585_C20DisCh.csv,4
3.25094,0.14814,-0.42063,1200.0,0.0,-9.51091,0.0,585_C20DisCh.csv,4
3.25835,0.14814,-0.42063,1260.0,0.0,-9.50287,0.0,585_C20DisCh.csv,4
3.26543,0.14814,-0.52579,1320.0,0.0,-9.49481,0.0,585_C20DisCh.csv,4
3.27251,0.14814,-0.63095,1380.0,0.0,-9.48672,0.0,585_C20DisCh.csv,4
3.27942,0.14814,-0.63095,1440.0,0.0,-9.4786,0.0,585_C20DisCh.csv,4
3.286,0.14814,-0.52579,1500.0,0.0,-9.4705,0.0,585_C20DisCh.csv,4
3.2924,0.14814,-0.42063,1560.0,0.0,-9.46235,0.0,585_C20DisCh.csv,4
3.29864,0.14814,-0.42063,1620.0,0.0,-9.4542,0.0,585_C20DisCh.csv,4
3.30454,0.14814,-0.52579,1680.0,0.0,-9.44604,0.0,585_C20DisCh.csv,4
3.31044,0.14814,-0.63095,1740.0,0.0,-9.43787,0.0,585_C20DisCh.csv,4
3.31617,0.15069,-0.52579,1800.0,0.0,-9.42967,0.0,585_C20DisCh.csv,4
3.32173,0.14814,-0.52579,1860.0,0.0,-9.42145,0.0,585_C20DisCh.csv,4
3.32713,0.14814,-0.63095,1920.0,0.0,-9.41324,0.0,585_C20DisCh.csv,4
3.33235,0.14814,-0.52579,1980.0,0.0,-9.405,0.0,585_C20DisCh.csv,4
3.33758,0.14814,-0.42063,2040.0,0.0,-9.39675,0.0,585_C20DisCh.csv,4
