Voltage,Current,Temperature,Elapsed Time,Cycle,WhAccu,SOC,Source_File,Charging_Session,Power
3.01141,0.15069,-0.63095,0.0,0.0,-9.66688,0.0,585_C20DisCh.csv,4,0.4537893729
3.03281,0.14814,-0.52579,60.0,0.0,-9.6594,0.0,585_C20DisCh.csv,4,0.4492804734
3.05169,0.14814,-0.52579,120.0,0.0,-9.65186,0.0,585_C20DisCh.csv,4,0.4520773565999999
3.06872,0.14814,-0.52579,180.0,0.0,-9.64431,0.0,585_C20DisCh.csv,4,0.4546001808
3.08456,0.14814,-0.52579,240.0,0.0,-9.6367,0.0,585_C20DisCh.csv,4,0.4569467184
3.09906,0.14814,-0.52579,300.0,0.0,-9.62904,0.0,585_C20DisCh.csv,4,0.45909474840000003
3.11288,0.14814,-0.52579,360.0,0.0,-9.62136,0.0,585_C20DisCh.csv,4,0.4611420432
3.12569,0.14814,-0.52579,420.0,0.0,-9.61364,0.0,585_C20DisCh.csv,4,0.4630397166
3.138,0.14814,-0.52579,480.0,0.0,-9.60591,0.0,585_C20DisCh.csv,4,0.46486331999999997
3.1498,0.14814,-0.63095,540.0,0.0,-9.5981,0.0,585_C20DisCh.csv,4,0.46661137199999997
3.16075,0.14814,-0.52579,600.0,0.0,-9.59028,0.0,585_C20DisCh.csv,4,0.468233505
3.17154,0.14814,-0.52579,660.0,0.0,-9.58246,0.0,585_C20DisCh.csv,4,0.4698319356
3.18166,0.14814,-0.52579,720.0,0.0,-9.57459,0.0,585_C20DisCh.csv,4,0.4713311124
3.19143,0.15069,-0.52579,780.0,0.0,-9.5667,0.0,585_C20DisCh.csv,4,0.4809165867
3.20087,0.14814,-0.52579,840.0,0.0,-9.55879,0.0,585_C20DisCh.csv,4,0.4741768818
3.20981,0.14814,-0.63095,900.0,0.0,-9.55087,0.0,585_C20DisCh.csv,4,0.4755012534
3.21874,0.14814,-0.63095,960.0,0.0,-9.54292,0.0,585_C20DisCh.csv,4,0.47682414359999997
3.22717,0.14814,-0.42063,1020.0,0.0,-9.53494,0.0,585_C20DisCh.csv,4,0.4780729638
3.23526,0.14814,-0.52579,1080.0,0.0,-9.52696,0.0,585_C20DisCh.csv,4,0.4792714163999999
3.24318,0.14814,-0.52579,1140.0,0.0,-9.51894,0.0,585_C20DisCh.csv,4,0.4804446852
3.25094,0.14814,-0.42063,1200.0,0.0,-9.51091,0.0,585_C20DisCh.csv,4,0.48159425159999997
3.25835,0.14814,-0.42063,1260.0,0.0,-9.50287,0.0,585_C20DisCh.csv,4,0.482691969
3.26543,0.14814,-0.52579,1320.0,0.0,-9.49481,0.0,585_C20DisCh.csv,4,0.48374080019999993
3.27251,0.14814,-0.63095,1380.0,0.0,-9.48672,0.0,585_C20DisCh.csv,4,0.4847896314
3.27942,0.14814,-0.63095,1440.0,0.0,-9.4786,0.0,585_C20DisCh.csv,4,0.48581327879999997
3.286,0.14814,-0.52579,1500.0,0.0,-9.4705,0.0,585_C20DisCh.csv,4,0.48678804
3.2924,0.14814,-0.42063,1560.0,0.0,-9.46235,0.0,585_C20DisCh.csv,4,0.487736136
3.29864,0.14814,-0.42063,1620.0,0.0,-9.4542,0.0,585_C20DisCh.csv,4,0.48866052959999995
3.30454,0.14814,-0.52579,1680.0,0.0,-9.44604,0.0,585_C20DisCh.csv,4,0.4895345556
3.31044,0.14814,-0.63095,1740.0,0.0,-9.43787,0.0,585_C20DisCh.csv,4,0.49040858159999995
3.31617,0.15069,-0.52579,1800.0,0.0,-9.42967,0.0,585_C20DisCh.csv,4,0.4997136573
3.32173,0.14814,-0.52579,1860.0,0.0,-9.42145,0.0,585_C20DisCh.csv,4,0.49208108219999996
3.32713,0.14814,-0.63095,1920.0,0.0,-9.41324,0.0,585_C20DisCh.csv,4,0.49288103819999995
3.33235,0.14814,-0.52579,1980.0,0.0,-9.405,0.0,585_C20DisCh.csv,4,0.49365432899999995
3.33758,0.14814,-0.42063,2040.0,0.0,-9.39675,0.0,585_C20DisCh.csv,4,0.4944291012
3.34247,0.14814,-0.52579,2100.0,0.0,-9.38849,0.0,585_C20DisCh.csv,4,0.4951535058
3.34735,0.14814,-0.63095,2160.0,0.0,-9.3802,0.0,585_C20DisCh.csv,4,0.495876429
3.35191,0.14814,-0.63095,2220.0,0.0,-9.37193,0.0,585_C20DisCh.csv,4,0.4965519474
3.35663,0.15069,-0.63095,2280.0,0.0,-9.36363,0.0,585_C20DisCh.csv,4,0.5058105747
3.36101,0.14814,-0.63095,2340.0,0.0,-9.35532,0.0,585_C20DisCh.csv,4,0.49790002139999995
3.36522,0.14814,-0.52579,2400.0,0.0,-9.347,0.0,585_C20DisCh.csv,4,0.4985236908
3.36927,0.15069,-0.52579,2460.0,0.0,-9.33867,0.0,585_C20DisCh.csv,4,0.5077152963
3.37331,0.14814,-0.52579,2520.0,0.0,-9.33034,0.0,585_C20DisCh.csv,4,0.4997221434
3.37702,0.15069,-0.42063,2580.0,0.0,-9.32198,0.0,585_C20DisCh.csv,4,0.5088831438
3.38056,0.14814,-0.52579,2640.0,0.0,-9.31361,0.0,585_C20DisCh.csv,4,0.5007961584
3.3841,0.14814,-0.52579,2700.0,0.0,-9.30524,0.0,585_C20DisCh.csv,4,0.501320574
3.3873,0.14814,-0.52579,2760.0,0.0,-9.29688,0.0,585_C20DisCh.csv,4,0.501794622
3.39051,0.14814,-0.52579,2820.0,0.0,-9.28849,0.0,585_C20DisCh.csv,4,0.5022701514
3.39337,0.14814,-0.42063,2880.0,0.0,-9.28009,0.0,585_C20DisCh.csv,4,0.5026938317999999
3.39624,0.14814,-0.52579,2940.0,0.0,-9.2717,0.0,585_C20DisCh.csv,4,0.5031189936
3.39877,0.14814,-0.52579,3000.0,0.0,-9.26326,0.0,585_C20DisCh.csv,4,0.5034937878
3.4013,0.14814,-0.52579,3060.0,0.0,-9.25485,0.0,585_C20DisCh.csv,4,0.503868582
3.40365,0.14814,-0.63095,3120.0,0.0,-9.24644,0.0,585_C20DisCh.csv,4,0.504216711
3.40601,0.14814,-0.52579,3180.0,0.0,-9.23802,0.0,585_C20DisCh.csv,4,0.5045663214
3.40821,0.15069,-0.52579,3240.0,0.0,-9.2295,0.0,585_C20DisCh.csv,4,0.5135831649
3.41023,0.14814,-0.42063,3300.0,0.0,-9.22106,0.0,585_C20DisCh.csv,4,0.5051914721999999
3.41225,0.14814,-0.52579,3360.0,0.0,-9.21262,0.0,585_C20DisCh.csv,4,0.505490715
3.41427,0.14814,-0.52579,3420.0,0.0,-9.20417,0.0,585_C20DisCh.csv,4,0.5057899578
3.4163,0.14814,-0.52579,3480.0,0.0,-9.19573,0.0,585_C20DisCh.csv,4,0.506090682
3.41832,0.14814,-0.52579,3540.0,0.0,-9.18727,0.0,585_C20DisCh.csv,4,0.5063899248
3.42034,0.14814,-0.52579,3600.0,0.0,-9.17882,0.0,585_C20DisCh.csv,4,0.5066891675999999
3.42237,0.14814,-0.52579,3660.0,0.0,-9.17035,0.0,585_C20DisCh.csv,4,0.5069898918
3.42422,0.14814,-0.52579,3720.0,0.0,-9.16188,0.0,585_C20DisCh.csv,4,0.5072639508
3.42624,0.14814,-0.52579,3780.0,0.0,-9.15342,0.0,585_C20DisCh.csv,4,0.5075631936
3.42827,0.14814,-0.52579,3840.0,0.0,-9.14494,0.0,585_C20DisCh.csv,4,0.5078639178
3.43012,0.15069,-0.42063,3900.0,0.0,-9.13646,0.0,585_C20DisCh.csv,4,0.5168847827999999
3.43197,0.14814,-0.42063,3960.0,0.0,-9.12797,0.0,585_C20DisCh.csv,4,0.5084120358
3.43383,0.15069,-0.52579,4020.0,0.0,-9.11946,0.0,585_C20DisCh.csv,4,0.5174438427
3.43585,0.14814,-0.52579,4080.0,0.0,-9.11087,0.0,585_C20DisCh.csv,4,0.508986819
3.4377,0.14814,-0.52579,4140.0,0.0,-9.10232,0.0,585_C20DisCh.csv,4,0.509260878
3.43973,0.14814,-0.73611,4200.0,0.0,-9.09379,0.0,585_C20DisCh.csv,4,0.5095616022
3.44158,0.14814,-0.63095,4260.0,0.0,-9.08526,0.0,585_C20DisCh.csv,4,0.5098356612
3.44344,0.14814,-0.63095,4320.0,0.0,-9.07675,0.0,585_C20DisCh.csv,4,0.5101112016
3.44512,0.15069,-0.52579,4380.0,0.0,-9.06821,0.0,585_C20DisCh.csv,4,0.5191451328
3.44698,0.14814,-0.52579,4440.0,0.0,-9.05964,0.0,585_C20DisCh.csv,4,0.5106356172
3.44866,0.14814,-0.73611,4500.0,0.0,-9.05111,0.0,585_C20DisCh.csv,4,0.5108844924
